scenario,runs,wall_seconds,simulated_seconds,effective_speed,mean_round,reach30,reach60,reach100,reach200,reach300,reach500,reach700,reach1000,reach1500,reach2000,reach2500,reach3000,reach5000,reach7500,reach10000
none,1000,37.4693482,4240662.6,113176.84464017444,141.361,896,686,686,155,1,0,0,0,0,0,0,0,0,0,0
top_growth,1000,56.0307902,6388855.85,114024.01835125287,213.016,995,956,956,329,27,3,1,1,1,1,1,1,1,1,1
top_combat,1000,57.970302,6816756.35,117590.4922834454,227.279,1000,998,998,342,16,3,2,2,2,2,2,2,2,2,2
