scenario,runs,wall_seconds,simulated_seconds,effective_speed,mean_round,reach30,reach60,reach100,reach200,reach300,reach400,reach500,reach600,reach700,reach1000,reach1500,reach2000,reach2500,reach3000,reach5000,reach7500,reach10000
none,500,73.5373317,1842536.5,,122.898,455,346,143,70,35,21,8,3,1,0,0,0,0,0,0,0,0
equipped,500,73.5373317,3591192.65,,239.468,496,470,296,131,94,65,52,43,38,13,0,0,0,0,0,0,0
top_growth,500,73.5373317,7351714.05,,490.138,497,482,420,213,158,140,127,116,105,97,14,5,5,5,0,0,0
top_combat,500,73.5373317,5618250.6,,374.576,500,498,486,249,181,117,92,79,69,50,0,0,0,0,0,0,0
