scenario,runs,wall_seconds,simulated_seconds,effective_speed,mean_round,reach30,reach60,reach100,reach200,reach300,reach400,reach500,reach600,reach700,reach1000,reach1500,reach2000,reach2500,reach3000,reach5000,reach7500,reach10000
none,1000,384.1726958,4517080.45,11757.942455003593,150.631,919,726,311,215,111,59,37,29,15,0,0,0,0,0,0,0,0
equipped,1000,384.1726958,1.20127882E7,31269.239931236152,400.471,995,947,618,586,319,244,203,179,156,72,61,6,6,6,1,0,0
top_growth,1000,384.1726958,3.891732715E7,101301.6478668758,1297.246,997,970,848,843,508,439,413,394,376,327,319,175,173,173,12,0,0
top_combat,1000,384.1726958,1.865683645E7,48563.67111449465,621.899,1000,998,978,978,586,408,333,307,285,193,34,2,2,2,1,0,0
