scenario,runs,wall_seconds,simulated_seconds,effective_speed,mean_round,reach30,reach60,reach100,reach200,reach300,reach400,reach500,reach600,reach700,reach1000,reach1500,reach2000,reach2500,reach3000,reach5000,reach7500,reach10000
none,1500,524.899549,7585284.8,14450.926495271193,168.584,1360,1065,906,294,198,128,63,50,29,0,0,0,0,0,0,0,0
equipped,1500,524.899549,1.786688865E7,34038.681656402034,397.06,1490,1427,1382,512,424,373,291,268,208,93,89,80,10,0,0,0,0
top_growth,1500,524.899549,3.637206815E7,69293.38807642984,808.2766666666666,1495,1457,1449,620,577,550,502,480,440,382,382,380,94,0,0,0,0
top_combat,1500,524.899549,2.40743024E7,45864.589607410766,535.0086666666666,1500,1497,1497,607,537,462,371,342,302,205,204,77,62,0,0,0,0
