scenario,last_round,runs
top_income_damage,768,3
top_income_damage,772,1
top_income_damage,773,2
top_income_damage,784,1
top_income_damage,788,1
top_income_damage,798,1
top_income_damage,799,1
top_income_damage,873,1
top_income_damage,893,1
top_income_damage,938,1
top_income_damage,969,1
top_income_damage,973,2
top_income_damage,978,1
top_income_damage,993,4
top_income_damage,1000,1
top_income_damage,1023,1
top_income_damage,1033,1
top_income_damage,1053,1
top_income_damage,1068,1
top_income_damage,1073,1
top_income_damage,1078,1
top_income_damage,1084,1
top_income_damage,1128,1
top_income_damage,1133,1
top_income_damage,1173,1
top_income_damage,1188,1
top_income_damage,1193,1
top_growth,29,2
top_growth,31,1
top_growth,36,1
top_growth,38,1
top_growth,45,1
top_growth,93,2
top_growth,96,1
top_growth,97,5
top_growth,98,36
top_growth,111,1
top_growth,112,1
top_growth,113,1
top_growth,115,1
top_growth,124,1
top_growth,235,1
top_growth,240,2
top_growth,244,2
top_growth,249,4
top_growth,253,1
top_growth,254,5
top_growth,268,8
top_growth,269,1
top_growth,272,1
top_growth,273,12
top_growth,288,2
top_growth,293,1
top_growth,326,1
top_growth,333,2
top_growth,335,1
top_growth,338,1
top_growth,344,1
top_growth,345,1
top_growth,354,1
top_growth,368,1
top_growth,373,3
top_growth,389,1
top_growth,398,5
top_growth,458,1
top_growth,469,1
top_growth,473,2
top_growth,493,2
top_growth,498,1
top_growth,499,1
top_growth,530,1
top_growth,531,2
top_growth,533,2
top_growth,535,2
top_growth,540,3
top_growth,544,2
top_growth,545,1
top_growth,549,1
top_growth,554,1
top_growth,558,1
top_growth,568,2
top_growth,570,1
top_growth,573,9
top_growth,578,1
top_growth,584,1
top_growth,588,1
top_growth,593,2
top_growth,598,2
top_growth,625,1
top_growth,628,1
top_growth,630,1
top_growth,631,1
top_growth,633,3
top_growth,635,2
top_growth,640,1
top_growth,643,3
top_growth,644,3
top_growth,645,1
top_growth,649,2
top_growth,653,1
top_growth,654,1
top_growth,658,1
top_growth,668,4
top_growth,669,1
top_growth,672,1
top_growth,673,8
top_growth,678,1
top_growth,683,4
top_growth,688,1
top_growth,693,4
top_growth,698,2
top_growth,720,1
top_growth,723,2
top_growth,724,1
top_growth,725,2
top_growth,728,1
top_growth,730,2
top_growth,739,1
top_growth,740,4
top_growth,744,1
top_growth,754,2
top_growth,758,2
top_growth,759,1
top_growth,772,1
top_growth,773,2
top_growth,782,1
top_growth,788,1
top_growth,789,1
top_growth,793,1
top_growth,840,1
top_growth,958,2
top_growth,969,1
top_growth,973,4
top_growth,974,1
top_growth,984,1
top_growth,988,1
top_growth,993,1
top_growth,998,1
top_growth,1043,1
top_growth,1044,1
top_growth,1045,1
top_growth,1048,2
top_growth,1053,1
top_growth,1083,1
top_growth,1098,1
top_growth,1114,1
top_growth,1153,1
top_growth,1154,1
top_growth,1163,1
top_combat,33,2
top_combat,98,8
top_combat,116,1
top_combat,119,1
top_combat,123,1
top_combat,124,1
top_combat,249,1
top_combat,254,10
top_combat,258,5
top_combat,268,14
top_combat,269,1
top_combat,272,2
top_combat,273,21
top_combat,278,1
top_combat,283,3
top_combat,288,4
top_combat,293,3
top_combat,320,1
top_combat,321,1
top_combat,328,1
top_combat,335,1
top_combat,338,1
top_combat,340,2
top_combat,343,1
top_combat,344,2
top_combat,348,1
top_combat,354,1
top_combat,358,1
top_combat,368,1
top_combat,371,1
top_combat,373,8
top_combat,374,1
top_combat,378,1
top_combat,383,1
top_combat,388,2
top_combat,393,2
top_combat,398,3
top_combat,421,1
top_combat,433,1
top_combat,440,1
top_combat,444,1
top_combat,454,1
top_combat,459,1
top_combat,468,1
top_combat,473,1
top_combat,478,1
top_combat,493,2
top_combat,523,2
top_combat,524,1
top_combat,525,1
top_combat,530,1
top_combat,533,2
top_combat,535,1
top_combat,536,1
top_combat,540,1
top_combat,543,1
top_combat,544,1
top_combat,553,1
top_combat,554,3
top_combat,559,1
top_combat,568,4
top_combat,569,1
top_combat,572,2
top_combat,573,8
top_combat,578,1
top_combat,583,2
top_combat,588,2
top_combat,593,4
top_combat,598,2
top_combat,624,1
top_combat,625,2
top_combat,630,2
top_combat,633,6
top_combat,634,1
top_combat,635,2
top_combat,638,1
top_combat,639,1
top_combat,640,3
top_combat,643,2
top_combat,644,5
top_combat,649,2
top_combat,654,2
top_combat,659,1
top_combat,663,1
top_combat,668,5
top_combat,669,4
top_combat,673,11
top_combat,683,2
top_combat,684,2
top_combat,688,4
top_combat,693,2
top_combat,698,2
top_combat,724,1
top_combat,728,1
top_combat,730,1
top_combat,735,1
top_combat,739,2
top_combat,740,3
top_combat,744,6
top_combat,754,1
top_combat,769,1
top_combat,773,6
top_combat,831,1
top_combat,849,1
top_combat,1058,1
