scenario,runs,wall_seconds,simulated_seconds,effective_speed,mean_round,reach30,reach60,reach100,reach200,reach300,reach400,reach500,reach600,reach700,reach800,reach900,reach1000,reach1250,reach1500,reach1750,reach2000,reach2100,reach2250,reach2400,reach2500
none,256,115.5457574,1022938.1,8853.099611946462,133.21484375,233,182,68,38,33,22,16,3,0,0,0,0,0,0,0,0,0,0,0,0
top_fusion,256,115.5457574,4524395.55,39156.7431968731,589.078125,256,254,244,243,211,189,171,129,66,36,27,21,0,0,0,0,0,0,0,0
top_income_damage,256,115.5457574,3856576.9,33377.05327119176,502.15234375,256,254,219,215,163,150,139,111,51,24,22,13,0,0,0,0,0,0,0,0
top_growth,256,115.5457574,3698313.2,32007.34741992353,481.546875,254,250,206,201,161,143,135,100,52,25,24,12,0,0,0,0,0,0,0,0
top_combat,256,115.5457574,3669237.3,31755.70771757302,477.7421875,256,254,246,242,177,144,133,90,26,3,1,1,0,0,0,0,0,0,0,0
