scenario,runs,wall_seconds,simulated_seconds,effective_speed,mean_round,reach30,reach60,reach100,reach200,reach300,reach400,reach500,reach600,reach700,reach1000,reach1500,reach2000,reach2500,reach3000,reach5000,reach7500,reach10000
none,1500,122.1136313,3612882.8,29586.236700505033,80.34533333333333,1360,1065,52,45,34,21,10,7,4,0,0,0,0,0,0,0,0
equipped,1500,122.1136313,5686776.65,46569.54829251729,126.46,1490,1427,116,107,94,88,70,61,50,5,0,0,0,0,0,0,0
top_growth,1500,122.1136313,7262483.05,59473.156048877565,161.48133333333334,1495,1457,159,126,118,113,104,99,93,67,0,0,0,0,0,0,0
top_combat,1500,122.1136313,7487659.9,61317.150430199355,166.472,1500,1497,239,176,157,133,114,104,93,10,0,0,0,0,0,0,0
